Label (Grouping),United States!!Estimate,United States!!Margin of Error,United States!!Percent,United States!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,"Barrow County, Georgia!!Estimate","Barrow County, Georgia!!Margin of Error","Barrow County, Georgia!!Percent","Barrow County, Georgia!!Percent Margin of Error","Bartow County, Georgia!!Estimate","Bartow County, Georgia!!Margin of Error","Bartow County, Georgia!!Percent","Bartow County, Georgia!!Percent Margin of Error","Bibb County, Georgia!!Estimate","Bibb County, Georgia!!Margin of Error","Bibb County, Georgia!!Percent","Bibb County, Georgia!!Percent Margin of Error","Bulloch County, Georgia!!Estimate","Bulloch County, Georgia!!Margin of Error","Bulloch County, Georgia!!Percent","Bulloch County, Georgia!!Percent Margin of Error","Carroll County, Georgia!!Estimate","Carroll County, Georgia!!Margin of Error","Carroll County, Georgia!!Percent","Carroll County, Georgia!!Percent Margin of Error","Catoosa County, Georgia!!Estimate","Catoosa County, Georgia!!Margin of Error","Catoosa County, Georgia!!Percent","Catoosa County, Georgia!!Percent Margin of Error","Chatham County, Georgia!!Estimate","Chatham County, Georgia!!Margin of Error","Chatham County, Georgia!!Percent","Chatham County, Georgia!!Percent Margin of Error","Cherokee County, Georgia!!Estimate","Cherokee County, Georgia!!Margin of Error","Cherokee County, Georgia!!Percent","Cherokee County, Georgia!!Percent Margin of Error","Clarke County, Georgia!!Estimate","Clarke County, Georgia!!Margin of Error","Clarke County, Georgia!!Percent","Clarke County, Georgia!!Percent Margin of Error","Clayton County, Georgia!!Estimate","Clayton County, Georgia!!Margin of Error","Clayton County, Georgia!!Percent","Clayton County, Georgia!!Percent Margin of Error","Cobb County, Georgia!!Estimate","Cobb County, Georgia!!Margin of Error","Cobb County, Georgia!!Percent","Cobb County, Georgia!!Percent Margin of Error","Columbia County, Georgia!!Estimate","Columbia County, Georgia!!Margin of Error","Columbia County, Georgia!!Percent","Columbia County, Georgia!!Percent Margin of Error","Coweta County, Georgia!!Estimate","Coweta County, Georgia!!Margin of Error","Coweta County, Georgia!!Percent","Coweta County, Georgia!!Percent Margin of Error","DeKalb County, Georgia!!Estimate","DeKalb County, Georgia!!Margin of Error","DeKalb County, Georgia!!Percent","DeKalb County, Georgia!!Percent Margin of Error","Dougherty County, Georgia!!Estimate","Dougherty County, Georgia!!Margin of Error","Dougherty County, Georgia!!Percent","Dougherty County, Georgia!!Percent Margin of Error","Douglas County, Georgia!!Estimate","Douglas County, Georgia!!Margin of Error","Douglas County, Georgia!!Percent","Douglas County, Georgia!!Percent Margin of Error","Effingham County, Georgia!!Estimate","Effingham County, Georgia!!Margin of Error","Effingham County, Georgia!!Percent","Effingham County, Georgia!!Percent Margin of Error","Fayette County, Georgia!!Estimate","Fayette County, Georgia!!Margin of Error","Fayette County, Georgia!!Percent","Fayette County, Georgia!!Percent Margin of Error","Floyd County, Georgia!!Estimate","Floyd County, Georgia!!Margin of Error","Floyd County, Georgia!!Percent","Floyd County, Georgia!!Percent Margin of Error","Forsyth County, Georgia!!Estimate","Forsyth County, Georgia!!Margin of Error","Forsyth County, Georgia!!Percent","Forsyth County, Georgia!!Percent Margin of Error","Fulton County, Georgia!!Estimate","Fulton County, Georgia!!Margin of Error","Fulton County, Georgia!!Percent","Fulton County, Georgia!!Percent Margin of Error","Glynn County, Georgia!!Estimate","Glynn County, Georgia!!Margin of Error","Glynn County, Georgia!!Percent","Glynn County, Georgia!!Percent Margin of Error","Gwinnett County, Georgia!!Estimate","Gwinnett County, Georgia!!Margin of Error","Gwinnett County, Georgia!!Percent","Gwinnett County, Georgia!!Percent Margin of Error","Hall County, Georgia!!Estimate","Hall County, Georgia!!Margin of Error","Hall County, Georgia!!Percent","Hall County, Georgia!!Percent Margin of Error","Henry County, Georgia!!Estimate","Henry County, Georgia!!Margin of Error","Henry County, Georgia!!Percent","Henry County, Georgia!!Percent Margin of Error","Houston County, Georgia!!Estimate","Houston County, Georgia!!Margin of Error","Houston County, Georgia!!Percent","Houston County, Georgia!!Percent Margin of Error","Jackson County, Georgia!!Estimate","Jackson County, Georgia!!Margin of Error","Jackson County, Georgia!!Percent","Jackson County, Georgia!!Percent Margin of Error","Liberty County, Georgia!!Estimate","Liberty County, Georgia!!Margin of Error","Liberty County, Georgia!!Percent","Liberty County, Georgia!!Percent Margin of Error","Lowndes County, Georgia!!Estimate","Lowndes County, Georgia!!Margin of Error","Lowndes County, Georgia!!Percent","Lowndes County, Georgia!!Percent Margin of Error","Muscogee County, Georgia!!Estimate","Muscogee County, Georgia!!Margin of Error","Muscogee County, Georgia!!Percent","Muscogee County, Georgia!!Percent Margin of Error","Newton County, Georgia!!Estimate","Newton County, Georgia!!Margin of Error","Newton County, Georgia!!Percent","Newton County, Georgia!!Percent Margin of Error","Paulding County, Georgia!!Estimate","Paulding County, Georgia!!Margin of Error","Paulding County, Georgia!!Percent","Paulding County, Georgia!!Percent Margin of Error","Richmond County, Georgia!!Estimate","Richmond County, Georgia!!Margin of Error","Richmond County, Georgia!!Percent","Richmond County, Georgia!!Percent Margin of Error","Rockdale County, Georgia!!Estimate","Rockdale County, Georgia!!Margin of Error","Rockdale County, Georgia!!Percent","Rockdale County, Georgia!!Percent Margin of Error","Spalding County, Georgia!!Estimate","Spalding County, Georgia!!Margin of Error","Spalding County, Georgia!!Percent","Spalding County, Georgia!!Percent Margin of Error","Troup County, Georgia!!Estimate","Troup County, Georgia!!Margin of Error","Troup County, Georgia!!Percent","Troup County, Georgia!!Percent Margin of Error","Walker County, Georgia!!Estimate","Walker County, Georgia!!Margin of Error","Walker County, Georgia!!Percent","Walker County, Georgia!!Percent Margin of Error","Walton County, Georgia!!Estimate","Walton County, Georgia!!Margin of Error","Walton County, Georgia!!Percent","Walton County, Georgia!!Percent Margin of Error","Whitfield County, Georgia!!Estimate","Whitfield County, Georgia!!Margin of Error","Whitfield County, Georgia!!Percent","Whitfield County, Georgia!!Percent Margin of Error"
                Italian,"7,088,611","±63,711",2.1%,±0.1,"105,934","±7,734",0.9%,±0.1,"1,061",±630,1.1%,±0.7,"2,534","±1,825",2.2%,±1.6,810,±584,0.5%,±0.4,758,±570,0.9%,±0.7,"1,159",±648,0.9%,±0.5,141,±220,0.2%,±0.3,"3,472","±1,296",1.1%,±0.4,"6,471","±2,801",2.2%,±1.0,"1,741",±610,1.3%,±0.5,326,±339,0.1%,±0.1,"8,551","±1,464",1.1%,±0.2,"2,656","±1,519",1.6%,±0.9,"1,971","±1,093",1.2%,±0.7,"5,109","±1,299",0.7%,±0.2,548,±619,0.7%,±0.8,823,±696,0.5%,±0.5,753,±481,1.0%,±0.7,"1,051",±510,0.8%,±0.4,341,±266,0.3%,±0.3,"5,944","±2,159",2.1%,±0.8,"11,415","±2,027",1.0%,±0.2,"1,355",±985,1.6%,±1.1,"8,101","±2,123",0.8%,±0.2,"1,712",±705,0.8%,±0.3,789,±466,0.3%,±0.2,"1,830",±807,1.0%,±0.5,"1,179",±683,1.3%,±0.7,456,±471,0.7%,±0.7,"1,266",±770,1.0%,±0.6,"1,738","±1,013",0.9%,±0.5,"1,910","±1,572",1.5%,±1.3,"1,619",±943,0.9%,±0.5,"1,282",±715,0.6%,±0.3,885,±802,0.9%,±0.8,251,±199,0.4%,±0.3,423,±375,0.6%,±0.5,433,±400,0.6%,±0.6,"1,404",±841,1.3%,±0.8,470,±673,0.4%,±0.6
                Lebanese,"384,942","±17,655",0.1%,±0.1,"10,710","±3,248",0.1%,±0.1,0,±232,0.0%,±0.2,0,±232,0.0%,±0.2,0,±232,0.0%,±0.1,242,±319,0.3%,±0.4,0,±232,0.0%,±0.2,0,±232,0.0%,±0.3,101,±120,0.0%,±0.1,361,±355,0.1%,±0.1,172,±218,0.1%,±0.2,0,±232,0.0%,±0.1,994,±729,0.1%,±0.1,0,±232,0.0%,±0.1,0,±232,0.0%,±0.1,955,±918,0.1%,±0.1,0,±232,0.0%,±0.3,0,±232,0.0%,±0.1,241,±348,0.3%,±0.5,75,±132,0.1%,±0.1,0,±232,0.0%,±0.2,755,±534,0.3%,±0.2,"2,813","±1,784",0.3%,±0.2,0,±232,0.0%,±0.3,"2,090","±2,274",0.2%,±0.2,0,±232,0.0%,±0.1,0,±232,0.0%,±0.1,0,±232,0.0%,±0.1,86,±150,0.1%,±0.2,0,±232,0.0%,±0.3,145,±174,0.1%,±0.1,73,±117,0.0%,±0.1,0,±232,0.0%,±0.2,0,±232,0.0%,±0.1,29,±50,0.0%,±0.1,47,±84,0.0%,±0.1,601,±797,0.9%,±1.1,243,±359,0.3%,±0.5,0,±232,0.0%,±0.3,0,±232,0.0%,±0.2,18,±31,0.0%,±0.1
                Other White,"139,128,780","±220,523",40.9%,±0.1,"3,581,898","±35,817",32.0%,±0.3,"40,723","±3,119",42.3%,±3.2,"59,728","±4,187",50.8%,±3.6,"33,142","±3,155",21.1%,±2.0,"38,348","±3,041",44.9%,±3.6,"56,476","±3,304",43.5%,±2.5,"33,085","±3,561",48.0%,±5.2,"97,232","±4,521",31.6%,±1.5,"147,441","±6,292",50.2%,±2.1,"51,599","±4,790",39.7%,±3.7,"18,371","±3,781",6.2%,±1.3,"243,650","±7,755",30.9%,±1.0,"72,451","±5,480",43.3%,±3.3,"70,178","±4,629",44.4%,±2.9,"151,776","±4,705",19.7%,±0.6,"12,959","±1,331",15.7%,±1.6,"30,890","±3,631",20.3%,±2.4,"36,895","±3,378",50.4%,±4.6,"42,429","±4,180",33.9%,±3.3,"29,637","±3,538",29.2%,±3.5,"106,549","±6,847",38.0%,±2.4,"267,532","±7,853",24.5%,±0.7,"31,553","±3,038",36.5%,±3.5,"204,537","±9,002",20.4%,±0.9,"93,213","±6,039",42.0%,±2.7,"52,493","±3,618",20.2%,±1.4,"62,555","±4,408",35.8%,±2.5,"48,382","±3,526",51.6%,±3.8,"14,645","±2,193",21.3%,±3.2,"35,638","±3,670",29.2%,±3.0,"38,316","±4,212",19.0%,±2.1,"28,011","±3,601",22.6%,±2.9,"72,786","±5,035",38.6%,±2.7,"43,395","±3,414",21.0%,±1.7,"15,646","±3,143",16.0%,±3.2,"22,802","±2,513",32.4%,±3.6,"24,331","±2,770",34.0%,±3.9,"34,412","±4,135",49.6%,±6.0,"45,666","±4,441",41.6%,±4.0,"36,132","±4,238",34.4%,±4.0
            Black or African American,"41,115,988","±105,449",12.1%,±0.1,"3,421,874","±19,188",30.6%,±0.2,"13,453","±2,053",14.0%,±2.1,"12,572","±1,473",10.7%,±1.3,"86,746","±2,319",55.2%,±1.5,"23,010","±1,604",26.9%,±1.9,"22,667","±2,350",17.4%,±1.8,"1,263",±603,1.8%,±0.9,"115,191","±3,747",37.5%,±1.2,"21,642","±1,602",7.4%,±0.5,"31,184","±2,617",24.0%,±2.0,"204,186","±3,703",68.6%,±1.2,"209,432","±4,568",26.6%,±0.6,"33,839","±2,521",20.2%,±1.5,"29,841","±2,015",18.9%,±1.3,"390,499","±5,728",50.7%,±0.7,"56,789","±1,802",68.9%,±2.2,"77,928","±3,018",51.3%,±2.0,"10,627","±1,224",14.5%,±1.7,"33,031","±1,960",26.4%,±1.6,"14,358","±1,052",14.2%,±1.0,"13,445","±1,546",4.8%,±0.6,"455,853","±6,394",41.8%,±0.6,"19,544","±2,567",22.6%,±3.0,"281,535","±6,475",28.0%,±0.6,"16,126","±1,835",7.3%,±0.8,"139,792","±3,761",53.9%,±1.5,"60,297","±1,909",34.5%,±1.1,"7,418","±1,251",7.9%,±1.3,"26,227","±2,347",38.2%,±3.4,"46,517","±1,386",38.1%,±1.1,"95,774","±2,964",47.5%,±1.5,"62,756","±2,589",50.6%,±2.1,"45,537","±3,209",24.2%,±1.7,"116,295","±2,729",56.4%,±1.3,"58,803","±2,619",60.2%,±2.7,"26,247","±1,918",37.3%,±2.7,"25,206","±1,423",35.2%,±2.0,"2,664",±624,3.8%,±0.9,"22,627","±2,190",20.6%,±2.0,"1,558",±737,1.5%,±0.7
                African American,"20,965,880","±129,188",6.2%,±0.1,"1,870,487","±42,386",16.7%,±0.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"67,017","±7,543",21.8%,±2.5,N,N,N,N,"11,212","±3,141",8.6%,±2.4,"112,721","±9,733",37.9%,±3.3,"97,180","±9,495",12.3%,±1.2,N,N,N,N,N,N,N,N,"204,467","±12,332",26.5%,±1.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"247,800","±14,099",22.7%,±1.3,N,N,N,N,"147,562","±12,155",14.7%,±1.2,N,N,N,N,"76,821","±7,797",29.6%,±3.0,N,N,N,N,N,N,N,N,N,N,N,N,"26,886","±4,207",22.0%,±3.4,"68,432","±5,490",33.9%,±2.7,"34,317","±6,933",27.7%,±5.6,"21,505","±5,611",11.4%,±3.0,N,N,N,N,"35,746","±4,877",36.6%,±5.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
                Ethiopian,"381,337","±25,573",0.1%,±0.1,"30,058","±7,357",0.3%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,±232,0.0%,±0.1,N,N,N,N,40,±89,0.0%,±0.1,833,"±1,218",0.3%,±0.4,697,±718,0.1%,±0.1,N,N,N,N,N,N,N,N,"13,868","±4,679",1.8%,±0.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"1,811","±1,885",0.2%,±0.2,N,N,N,N,"11,773","±5,536",1.2%,±0.6,N,N,N,N,0,±232,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,0,±232,0.0%,±0.2,61,±103,0.0%,±0.1,0,±232,0.0%,±0.2,0,±232,0.0%,±0.1,N,N,N,N,0,±232,0.0%,±0.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
                Haitian,"1,248,214","±50,112",0.4%,±0.1,"41,039","±7,906",0.4%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,408,±377,0.1%,±0.1,N,N,N,N,569,±714,0.4%,±0.5,"2,943","±1,956",1.0%,±0.7,"7,041","±2,862",0.9%,±0.4,N,N,N,N,N,N,N,N,"4,624","±3,239",0.6%,±0.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"4,612","±2,712",0.4%,±0.2,N,N,N,N,"5,504","±3,202",0.5%,±0.3,N,N,N,N,"3,401","±3,382",1.3%,±1.3,N,N,N,N,N,N,N,N,N,N,N,N,0,±232,0.0%,±0.2,98,±170,0.0%,±0.1,"1,781","±1,638",1.4%,±1.3,307,±328,0.2%,±0.2,N,N,N,N,"1,948","±2,624",2.0%,±2.7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
                Jamaican,"986,647","±33,742",0.3%,±0.1,"68,567","±8,117",0.6%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"4,171","±2,864",1.4%,±0.9,N,N,N,N,710,±689,0.5%,±0.5,"6,247","±2,931",2.1%,±1.0,"5,358","±2,519",0.7%,±0.3,N,N,N,N,N,N,N,N,"10,869","±2,868",1.4%,±0.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"9,807","±3,319",0.9%,±0.3,N,N,N,N,"10,985","±3,564",1.1%,±0.4,N,N,N,N,"7,693","±3,288",3.0%,±1.3,N,N,N,N,N,N,N,N,N,N,N,N,469,±468,0.4%,±0.4,422,±344,0.2%,±0.2,963,±754,0.8%,±0.6,"1,381","±1,327",0.7%,±0.7,N,N,N,N,"1,010",±718,1.0%,±0.7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
                Nigerian,"701,319","±32,688",0.2%,±0.1,"37,845","±6,397",0.3%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60,±122,0.0%,±0.1,N,N,N,N,563,±366,0.4%,±0.3,927,±739,0.3%,±0.2,"6,086","±3,405",0.8%,±0.4,N,N,N,N,N,N,N,N,"4,668","±2,553",0.6%,±0.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"6,873","±3,671",0.6%,±0.3,N,N,N,N,"9,980","±4,630",1.0%,±0.5,N,N,N,N,538,±825,0.2%,±0.3,N,N,N,N,N,N,N,N,N,N,N,N,210,±184,0.2%,±0.2,176,±160,0.1%,±0.1,761,±907,0.6%,±0.7,"1,863","±1,761",1.0%,±0.9,N,N,N,N,663,±680,0.7%,±0.7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
                Somali,"247,769","±23,343",0.1%,±0.1,"3,029","±1,836",0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,±232,0.0%,±0.1,N,N,N,N,0,±232,0.0%,±0.2,0,±232,0.0%,±0.1,48,±79,0.0%,±0.1,N,N,N,N,N,N,N,N,"1,015",±721,0.1%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,427,±522,0.0%,±0.1,N,N,N,N,"1,352","±1,533",0.1%,±0.2,N,N,N,N,0,±232,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,0,±232,0.0%,±0.2,0,±232,0.0%,±0.1,0,±232,0.0%,±0.2,55,±97,0.0%,±0.1,N,N,N,N,44,±6,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
                Other Black or African American,"16,584,822","±138,102",4.9%,±0.1,"1,370,849","±39,466",12.3%,±0.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"43,535","±6,237",14.2%,±2.0,N,N,N,N,"18,090","±3,589",13.9%,±2.8,"80,515","±9,938",27.0%,±3.3,"93,022","±8,134",11.8%,±1.0,N,N,N,N,N,N,N,N,"150,988","±13,145",19.6%,±1.7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"184,523","±14,346",16.9%,±1.3,N,N,N,N,"94,379","±10,221",9.4%,±1.0,N,N,N,N,"51,339","±6,854",19.8%,±2.6,N,N,N,N,N,N,N,N,N,N,N,N,"18,952","±4,027",15.5%,±3.3,"26,585","±4,576",13.2%,±2.3,"24,934","±7,190",20.1%,±5.8,"20,426","±5,329",10.8%,±2.8,N,N,N,N,"19,392","±4,236",19.9%,±4.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
            American Indian and Alaska Native,"3,433,243","±54,565",1.0%,±0.1,"56,022","±8,775",0.5%,±0.1,774,±618,0.8%,±0.6,309,±293,0.3%,±0.2,178,±227,0.1%,±0.1,"1,575","±1,417",1.8%,±1.7,"1,600","±1,190",1.2%,±0.9,0,±232,0.0%,±0.3,"1,954","±1,585",0.6%,±0.5,"1,387","±1,246",0.5%,±0.4,511,±529,0.4%,±0.4,"3,745","±2,778",1.3%,±0.9,"4,082","±1,780",0.5%,±0.2,466,±425,0.3%,±0.3,79,±139,0.0%,±0.1,"2,910","±2,365",0.4%,±0.3,493,±655,0.6%,±0.8,414,±465,0.3%,±0.3,144,±177,0.2%,±0.2,270,±393,0.2%,±0.3,"2,438","±2,666",2.4%,±2.6,674,±394,0.2%,±0.1,"2,203",±991,0.2%,±0.1,937,±919,1.1%,±1.1,"5,977","±2,647",0.6%,±0.3,813,±821,0.4%,±0.4,508,±298,0.2%,±0.1,504,±572,0.3%,±0.3,"1,411","±1,575",1.5%,±1.7,"1,250","±1,386",1.8%,±2.0,439,±701,0.4%,±0.6,985,±582,0.5%,±0.3,0,±232,0.0%,±0.2,"2,328","±2,678",1.2%,±1.4,141,±173,0.1%,±0.1,"1,093","±1,364",1.1%,±1.4,125,±202,0.2%,±0.3,98,±78,0.1%,±0.1,89,±107,0.1%,±0.2,151,±185,0.1%,±0.2,"2,318","±1,650",2.2%,±1.6
                Aztec,"503,490","±31,220",0.1%,±0.1,"13,134","±4,449",0.1%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
                Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,"30,268","±3,313",0.0%,±0.1,"1,023","±1,074",0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
                Maya,"283,333","±17,381",0.1%,±0.1,"9,220","±3,857",0.1%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
                Native Village of Barrow Inupiat Traditional Government,488,±648,0.0%,±0.1,0,±232,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
                Navajo Nation,"317,893","±10,898",0.1%,±0.1,368,±252,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
                Nome Eskimo Community,"1,612",±727,0.0%,±0.1,0,±232,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
                Other American Indian and Alaska Native,"2,296,159","±39,668",0.7%,±0.1,"32,277","±6,142",0.3%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
            Asian,"21,333,453","±46,902",6.3%,±0.1,"547,463","±7,984",4.9%,±0.1,"3,729",±817,3.9%,±0.8,"1,711",±439,1.5%,±0.4,"3,739",±341,2.4%,±0.2,"1,000",±688,1.2%,±0.8,"1,321",±517,1.0%,±0.4,964,±381,1.4%,±0.6,"10,967",±675,3.6%,±0.2,"8,581","±1,208",2.9%,±0.4,"5,441",±465,4.2%,±0.4,"15,143","±1,006",5.1%,±0.3,"44,961","±1,804",5.7%,±0.2,"8,594","±1,280",5.1%,±0.8,"3,928",±739,2.5%,±0.5,"48,323","±1,955",6.3%,±0.3,584,±251,0.7%,±0.3,"2,316",±792,1.5%,±0.5,"1,159",±220,1.6%,±0.3,"7,408",±463,5.9%,±0.4,"1,404",±553,1.4%,±0.5,"64,714","±1,516",23.1%,±0.5,"89,752","±2,365",8.2%,±0.2,"1,517",±566,1.8%,±0.7,"141,301","±3,153",14.1%,±0.3,"5,362","±1,319",2.4%,±0.6,"9,663",±468,3.7%,±0.2,"5,371","±1,287",3.1%,±0.7,"3,013",±283,3.2%,±0.3,"1,049",±577,1.5%,±0.8,"1,961",±855,1.6%,±0.7,"6,106",±913,3.0%,±0.5,"2,165",±150,1.7%,±0.1,"3,434",±768,1.8%,±0.4,"3,598",±403,1.7%,±0.2,"1,634",±509,1.7%,±0.5,851,±778,1.2%,±1.1,"1,713",±522,2.4%,±0.7,0,±232,0.0%,±0.3,"1,896",±619,1.7%,±0.6,"1,221",±241,1.2%,±0.2
